,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,HEAD_2_HEAD_HOME_TEAM_WINS,HEAD_2_HEAD_HOME_TEAM_LOSS,HEAD_2_HEAD_DRAW,HOME_WIN_RATE,HOME_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE,AWAY_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE_AT_THIS_GROUND
5484,1020159,9748,8689,2011/2012,2012-04-22,HOME_WIN,73.0,78.0,71.33333333,75.33333333,75.0,86.0,0.571428571429,0.142857142857,0.285714285714,0.608695652174,0.733333333333,0.202898550725,0.0625,0.0
5485,1020162,10249,9873,2011/2012,2012-04-21,HOME_WIN,72.0,77.5,68.5,76.33333333,75.0,75.0,0.6,0.2,0.2,0.615384615385,0.875,0.153846153846,0.0625,0.0
5486,1020163,9831,8583,2011/2012,2012-04-21,HOME_WIN,69.0,68.0,72.0,72.66666667,74.0,77.0,0.428571428571,0.571428571429,0.0,0.411764705882,0.375,0.289855072464,0.0,0.333333333333
5487,1020167,9847,9874,2011/2012,2012-04-22,HOME_WIN,76.0,78.0,69.33333333,79.0,74.0,83.0,0.833333333333,0.166666666667,0.0,0.56338028169,0.6875,0.154929577465,0.125,0.0
5488,1020181,8583,8521,2011/2012,2012-04-29,HOME_WIN,67.0,68.0,70.33333333,69.5,76.0,74.0,0.0,1.0,0.0,0.414285714286,0.3125,0.147058823529,0.0,1.0
5489,1020183,4087,9748,2011/2012,2012-05-10,AWAY_WIN,80.66666667,62.0,76.5,67.0,86.0,71.0,0.0,1.0,0.0,0.529411764706,0.529411764706,0.367647058824,0.294117647059,
5490,1020185,8639,9847,2011/2012,2012-04-29,HOME_WIN,80.0,77.0,79.0,73.75,83.0,80.0,0.142857142857,0.285714285714,0.571428571429,0.666666666667,0.5625,0.314285714286,0.4375,0.0
5491,1020187,8689,8592,2011/2012,2012-04-27,HOME_WIN,75.0,0.0,75.0,72.25,84.0,64.0,0.142857142857,0.571428571429,0.285714285714,0.391304347826,0.4375,0.457142857143,0.25,0.666666666667
5492,1020188,8481,7819,2011/2012,2012-04-29,DRAW,65.0,65.0,67.5,71.25,76.0,72.0,0.8,0.0,0.2,0.30985915493,0.294117647059,0.2,0.214285714286,0.0
5493,1020190,9851,8576,2011/2012,2012-04-29,HOME_WIN,69.0,77.0,67.0,73.75,77.0,76.0,0.0,1.0,0.0,0.521739130435,0.375,0.125,0.125,
