match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating,away_Goalkeeper_rating,home_Goalkeeper_rating
1229289,10003,10260,2012/2013,12/23/12 0:00,DRAW,88,76.5,81.5,71.75,80,81
1229290,8586,10194,2012/2013,12/22/12 0:00,DRAW,74,81.5,72.8,78.8,79,85
1229291,8659,9850,2012/2013,12/22/12 0:00,HOME_WIN,72,74,73.5,70.75,70,78
1229292,8654,8668,2012/2013,12/22/12 0:00,AWAY_WIN,75,71.5,79.25,72.5,81,72
1229294,8528,9825,2012/2013,12/22/12 0:00,AWAY_WIN,81.5,75,80.75,73,80,79
1229295,9825,8654,2012/2013,1/23/13 0:00,HOME_WIN,72,81,71.25,80.75,72,80
1229297,10252,8586,2012/2013,12/26/12 0:00,AWAY_WIN,81.5,73,78,69.2,85,76
1229298,8668,8528,2012/2013,12/26/12 0:00,HOME_WIN,78,75,73.4,79.66666667,79,81
1229299,9879,8466,2012/2013,12/26/12 0:00,DRAW,74,75,72.2,75.6,73,79
1229300,10260,10261,2012/2013,12/26/12 0:00,HOME_WIN,82,85,75.6,80.25,79,80
1229301,9850,8455,2012/2013,12/26/12 0:00,AWAY_WIN,79.5,74.5,80,73.5,84,70
1229302,10172,8659,2012/2013,12/26/12 0:00,AWAY_WIN,71,74,70.75,72.33333333,78,76
1229303,9798,10003,2012/2013,12/26/12 0:00,DRAW,73.66666667,72,71.75,71.5,81,72
1229304,10194,8650,2012/2013,12/26/12 0:00,HOME_WIN,85,74,80.8,75,83,79
1229305,8472,8456,2012/2013,12/26/12 0:00,HOME_WIN,87,77,80.25,71.66666667,84,76
1228290,10252,8668,2012/2013,8/25/12 0:00,AWAY_WIN,76.5,76.5,78.33333333,70.8,81,80
1228291,8455,10261,2012/2013,8/25/12 0:00,HOME_WIN,81.66666667,85,77,79.16666667,79,84
1228292,8650,8456,2012/2013,8/26/12 0:00,DRAW,85,81.5,80.8,77.6,84,83
